p3n,p2n,p1n,p0n,g3n,g2n,g1n,g0n,cnn,V(cnx),V(cny),V(cnz),V(gn),V(pn),I(Va),I(V1),I(V2),I(V3),I(V4),I(V5),I(V6),I(V7),I(V8),I(V9)
0,0,0,0,1,1,1,1,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 9.999445e-01, 1.231515e-04, -1.05432e-06, 8.482718e-11, 1.148542e-10, 1.674176e-10, 1.899116e-10, -3.18074e-10, -5.56365e-10, -6.36165e-10, -3.97777e-10, 9.012355e-11
0,0,0,0,1,1,1,1,1, 3.534875e-04, 3.538554e-04, 3.539630e-04, 9.999445e-01, 1.231501e-04, -1.28314e-06, 8.482717e-11, 1.148542e-10, 1.674176e-10, 1.899116e-10, -3.18074e-10, -5.56365e-10, -6.36165e-10, -5.56477e-10, -2.38659e-10
0,0,0,1,0,0,0,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231520e-04, 9.999445e-01, -8.87998e-07, 8.437428e-11, 1.032361e-10, 1.422818e-10, -3.26468e-11, 1.087141e-10, 2.650033e-10, 2.285968e-10, 2.541202e-10, 5.662103e-11
0,0,0,1,0,0,0,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231504e-04, 9.999445e-01, -9.23581e-07, 8.437427e-11, 1.032361e-10, 1.422818e-10, -3.26468e-11, 1.087141e-10, 2.650033e-10, 2.285968e-10, 2.550259e-10, -2.38640e-10
0,0,0,1,0,0,0,1,0, 5.068489e-05, 9.998973e-01, 9.998974e-01, 1.231487e-04, 9.999445e-01, -9.51301e-07, 8.437428e-11, 1.032361e-10, 1.422818e-10, -1.91346e-10, 1.087141e-10, 2.650033e-10, 2.402183e-10, -3.18431e-10, 7.895834e-11
0,0,0,1,0,0,0,1,1, 9.193067e-07, 9.998973e-01, 9.998974e-01, 1.231493e-04, 9.999445e-01, -1.00074e-06, 8.437428e-11, 1.032361e-10, 1.422818e-10, -1.91346e-10, 1.087141e-10, 2.650033e-10, 2.402184e-10, -4.77132e-10, -2.38653e-10
0,0,0,1,0,0,1,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231505e-04, 9.999445e-01, -9.54496e-07, 8.437428e-11, 1.032361e-10, 1.427347e-10, -1.11996e-10, 1.087141e-10, 2.775306e-10, -4.77447e-10, 2.769069e-10, 5.662104e-11
0,0,0,1,0,0,1,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231502e-04, 9.999445e-01, -9.90081e-07, 8.437428e-11, 1.032361e-10, 1.427347e-10, -1.11996e-10, 1.087141e-10, 2.775306e-10, -4.77447e-10, 2.778126e-10, -2.38640e-10
0,0,0,1,0,0,1,1,0, 5.068482e-05, 3.538504e-04, 9.998974e-01, 1.231488e-04, 9.999445e-01, -1.04249e-06, 8.437428e-11, 1.032361e-10, 1.427347e-10, -2.70695e-10, 1.087141e-10, 2.775306e-10, -5.56799e-10, -3.97796e-10, 9.012354e-11
0,0,0,1,0,0,1,1,1, 9.193035e-07, 3.538492e-04, 9.998974e-01, 1.231488e-04, 9.999445e-01, -1.10949e-06, 8.437428e-11, 1.032361e-10, 1.427347e-10, -2.70695e-10, 1.087141e-10, 2.775306e-10, -5.56799e-10, -5.56498e-10, -2.38659e-10
0,0,0,1,0,1,0,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231504e-04, 9.999445e-01, -9.38409e-07, 8.437428e-11, 1.036890e-10, 1.422818e-10, -3.26468e-11, 1.203356e-10, -2.38953e-10, 2.625556e-10, 2.541202e-10, 5.662105e-11
0,0,0,1,0,1,0,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231488e-04, 9.999445e-01, -9.73989e-07, 8.437428e-11, 1.036890e-10, 1.422818e-10, -3.26468e-11, 1.203356e-10, -2.38953e-10, 2.625556e-10, 2.550259e-10, -2.38640e-10
0,0,0,1,0,1,0,1,0, 5.068483e-05, 9.998973e-01, 9.998974e-01, 1.231494e-04, 9.999445e-01, -1.00171e-06, 8.437428e-11, 1.036890e-10, 1.422818e-10, -1.91346e-10, 1.203356e-10, -2.38953e-10, 2.741771e-10, -3.18431e-10, 7.895833e-11
0,0,0,1,0,1,0,1,1, 9.193050e-07, 9.998973e-01, 9.998974e-01, 1.231501e-04, 9.999445e-01, -1.05115e-06, 8.437428e-11, 1.036890e-10, 1.422818e-10, -1.91346e-10, 1.203356e-10, -2.38953e-10, 2.741771e-10, -4.77132e-10, -2.38653e-10
0,0,0,1,0,1,1,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231502e-04, 9.999445e-01, -9.73402e-07, 8.437428e-11, 1.036890e-10, 1.538999e-10, -1.11996e-10, 1.203356e-10, -4.77010e-10, -5.56814e-10, 2.769069e-10, 5.662104e-11
0,0,0,1,0,1,1,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231502e-04, 9.999445e-01, -1.00898e-06, 8.437428e-11, 1.036890e-10, 1.538999e-10, -1.11996e-10, 1.203356e-10, -4.77010e-10, -5.56814e-10, 2.778127e-10, -2.38640e-10
0,0,0,1,0,1,1,1,0, 5.068467e-05, 3.538501e-04, 3.539574e-04, 1.231500e-04, 9.999445e-01, -1.11010e-06, 8.437428e-11, 1.036890e-10, 1.538999e-10, -2.70695e-10, 1.203356e-10, -4.77010e-10, -6.36167e-10, -3.97796e-10, 9.012356e-11
0,0,0,1,0,1,1,1,1, 9.193093e-07, 3.538494e-04, 3.539565e-04, 1.231500e-04, 9.999445e-01, -1.19464e-06, 8.437428e-11, 1.036890e-10, 1.538999e-10, -2.70695e-10, 1.203356e-10, -4.77010e-10, -6.36167e-10, -5.56498e-10, -2.38659e-10
0,0,0,1,1,0,0,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231492e-04, 9.999445e-01, -9.27237e-07, 8.482717e-11, 1.032361e-10, 1.427347e-10, -3.26468e-11, -2.38719e-10, 2.766248e-10, 2.285968e-10, 2.541202e-10, 5.662104e-11
0,0,0,1,1,0,0,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231503e-04, 9.999445e-01, -9.62823e-07, 8.482717e-11, 1.032361e-10, 1.427347e-10, -3.26468e-11, -2.38719e-10, 2.766248e-10, 2.285968e-10, 2.550259e-10, -2.38640e-10
0,0,0,1,1,0,0,1,0, 5.068499e-05, 9.998973e-01, 9.998974e-01, 1.231503e-04, 9.999445e-01, -9.90541e-07, 8.482716e-11, 1.032361e-10, 1.427347e-10, -1.91346e-10, -2.38719e-10, 2.766248e-10, 2.402183e-10, -3.18431e-10, 7.895834e-11
0,0,0,1,1,0,0,1,1, 9.193063e-07, 9.998973e-01, 9.998974e-01, 1.231495e-04, 9.999445e-01, -1.03998e-06, 8.482718e-11, 1.032361e-10, 1.427347e-10, -1.91346e-10, -2.38719e-10, 2.766248e-10, 2.402183e-10, -4.77132e-10, -2.38653e-10
0,0,0,1,1,0,1,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231510e-04, 9.999445e-01, -9.93738e-07, 8.482717e-11, 1.032361e-10, 1.431876e-10, -1.11996e-10, -2.38719e-10, 2.891521e-10, -4.77447e-10, 2.769069e-10, 5.662104e-11
0,0,0,1,1,0,1,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231511e-04, 9.999445e-01, -1.02932e-06, 8.482718e-11, 1.032361e-10, 1.431876e-10, -1.11996e-10, -2.38719e-10, 2.891521e-10, -4.77447e-10, 2.778126e-10, -2.38640e-10
0,0,0,1,1,0,1,1,0, 5.068500e-05, 3.538503e-04, 9.998974e-01, 1.231498e-04, 9.999445e-01, -1.08173e-06, 8.482718e-11, 1.032361e-10, 1.431876e-10, -2.70695e-10, -2.38719e-10, 2.891521e-10, -5.56799e-10, -3.97796e-10, 9.012356e-11
0,0,0,1,1,0,1,1,1, 9.193044e-07, 3.538495e-04, 9.998974e-01, 1.231493e-04, 9.999445e-01, -1.14874e-06, 8.482718e-11, 1.032361e-10, 1.431876e-10, -2.70695e-10, -2.38719e-10, 2.891521e-10, -5.56799e-10, -5.56498e-10, -2.38659e-10
0,0,0,1,1,1,0,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231502e-04, 9.999445e-01, -9.61880e-07, 8.482717e-11, 1.148542e-10, 1.427347e-10, -3.26468e-11, -3.18074e-10, -3.18308e-10, 2.625556e-10, 2.541202e-10, 5.662104e-11
0,0,0,1,1,1,0,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231496e-04, 9.999445e-01, -9.97462e-07, 8.482718e-11, 1.148542e-10, 1.427347e-10, -3.26468e-11, -3.18074e-10, -3.18308e-10, 2.625556e-10, 2.550259e-10, -2.38640e-10
0,0,0,1,1,1,0,1,0, 5.068489e-05, 9.998973e-01, 9.998974e-01, 1.231507e-04, 9.999445e-01, -1.02518e-06, 8.482716e-11, 1.148542e-10, 1.427347e-10, -1.91346e-10, -3.18074e-10, -3.18308e-10, 2.741771e-10, -3.18431e-10, 7.895835e-11
0,0,0,1,1,1,0,1,1, 9.192994e-07, 9.998973e-01, 9.998974e-01, 1.231497e-04, 9.999445e-01, -1.07463e-06, 8.482718e-11, 1.148542e-10, 1.427347e-10, -1.91346e-10, -3.18074e-10, -3.18308e-10, 2.741771e-10, -4.77132e-10, -2.38653e-10
0,0,0,1,1,1,1,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231517e-04, 9.999445e-01, -9.96878e-07, 8.482717e-11, 1.148542e-10, 1.543528e-10, -1.11996e-10, -3.18074e-10, -5.56365e-10, -5.56814e-10, 2.769069e-10, 5.662104e-11
0,0,0,1,1,1,1,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231506e-04, 9.999445e-01, -1.03246e-06, 8.482717e-11, 1.148542e-10, 1.543528e-10, -1.11996e-10, -3.18074e-10, -5.56365e-10, -5.56814e-10, 2.778126e-10, -2.38640e-10
0,0,0,1,1,1,1,1,0, 5.068463e-05, 3.538502e-04, 3.539576e-04, 9.999445e-01, 9.999445e-01, -1.20368e-06, 8.482717e-11, 1.148542e-10, 1.543528e-10, -2.70695e-10, -3.18074e-10, -5.56365e-10, -6.36167e-10, -3.97796e-10, 9.012356e-11
0,0,0,1,1,1,1,1,1, 9.193065e-07, 3.538494e-04, 3.539571e-04, 9.999445e-01, 9.999445e-01, -1.28821e-06, 8.482717e-11, 1.148542e-10, 1.543528e-10, -2.70695e-10, -3.18074e-10, -5.56365e-10, -6.36167e-10, -5.56498e-10, -2.38659e-10
0,0,1,0,0,0,0,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231503e-04, 9.999445e-01, -8.68584e-07, 8.437427e-11, 1.032361e-10, -1.12112e-10, 1.563046e-10, 1.198827e-10, 2.650033e-10, 2.285968e-10, 2.317829e-10, 5.662104e-11
0,0,1,0,0,0,0,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231509e-04, 9.999445e-01, -9.04166e-07, 8.437428e-11, 1.032361e-10, -1.12112e-10, 1.563046e-10, 1.198827e-10, 2.650033e-10, 2.285968e-10, 2.326886e-10, -2.38640e-10
